exhibition,code,name,kind,tier_worst,tier_best,confidence,has_summary,has_roam,n_reasons,n_todo,n_valuetags,n_goods
sibf-2026,A101,"고스트북스",exhibitor,T3 공식요약,T3 공식요약,medium,1,0,0,1,0,2
sibf-2026,A102,"별빛들",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A103,"도서출판부카",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A104,"봄봄출판사",exhibitor,T1 저작해석,T1 저작해석,high,1,1,3,3,3,0
sibf-2026,A105,"단추 출판사",exhibitor,T3 공식요약,T3 공식요약,medium,1,0,0,0,0,1
sibf-2026,A106,"밝은세상",exhibitor,T3 공식요약,T3 공식요약,medium,1,0,0,2,0,4
sibf-2026,A107,"애플트리테일즈",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A108,"도서출판 달리 외 1",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A109,"핀드",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A110,"소동출판사",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A111,"시사북스(빈페이지)",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A112,"한국출판마케팅연구소",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A113,"일러스트레이트 월",facility,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A201,"안그라픽스",exhibitor,T3 공식요약,T3 공식요약,medium,1,0,0,0,0,0
sibf-2026,A202,"프로파간다 외 2",exhibitor,T3 공식요약,T3 공식요약,medium,1,0,0,0,0,3
sibf-2026,A203,"인북",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A204,"안녕로빈",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A205,"킨더랜드",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A206,"(주)학토재",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A207,"노란상상",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A208,"(주)도서출판보리",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A209,"페이퍼스토리 외 2",exhibitor,T3 공식요약,T3 공식요약,medium,1,0,0,2,0,4
sibf-2026,A210,"거북이북스",exhibitor,T3 공식요약,T3 공식요약,medium,1,0,0,0,0,0
sibf-2026,A301,"워크룸 프레스",exhibitor,T3 공식요약,T3 공식요약,medium,1,0,0,0,0,3
sibf-2026,A302,"산지니",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A303,"까치글방",exhibitor,T3 공식요약,T3 공식요약,medium,1,0,0,0,0,0
sibf-2026,A304,"글항아리",exhibitor,T3 공식요약,T3 공식요약,medium,1,0,0,1,0,1
sibf-2026,A305,"청아출판사 / 봄마중",exhibitor,T3 공식요약,T3 공식요약,medium,1,0,0,0,0,2
sibf-2026,A306,"도서출판 풀빛",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A307,"도서출판 푸른숲",exhibitor,T1 저작해석,T1 저작해석,high,1,1,2,3,2,5
sibf-2026,A308,"군자출판사 외 1",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A401,"보림출판사",exhibitor,T1 저작해석,T1 저작해석,high,1,1,3,3,3,3
sibf-2026,A402,"네이버웹툰",exhibitor,T3 공식요약,T3 공식요약,medium,1,0,0,3,0,4
sibf-2026,A403,"(주)위즈덤하우스",exhibitor,T3 공식요약,T3 공식요약,medium,1,0,0,1,0,4
sibf-2026,A501,"솔테라이브러리 외 1",exhibitor,T3 공식요약,T3 공식요약,medium,1,0,0,0,0,4
sibf-2026,A502,"(주)김영사",exhibitor,T3 공식요약,T3 공식요약,medium,1,0,0,1,0,5
sibf-2026,A503,"(주)문학수첩",exhibitor,T1 저작해석,T1 저작해석,high,1,1,3,3,3,7
sibf-2026,A601,"프랑스 출판네트워크 (구 : 프랑스국제출판사무국) 외 1",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A602,"(주)쌤앤파커스",exhibitor,T3 공식요약,T3 공식요약,medium,1,0,0,0,0,8
sibf-2026,A701,"봄알람",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A702,"타이피스트",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A703,"사단법인 한국대학출판협회",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A704,"도서출판 북극곰",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A705,"국민서관",exhibitor,T3 공식요약,T3 공식요약,medium,1,0,0,0,0,1
sibf-2026,A706,"주식회사 성안당",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A707,"책읽는고양이",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A708,"소미미디어",exhibitor,T3 공식요약,T3 공식요약,medium,1,0,0,0,0,3
sibf-2026,A709,"키큰도토리 외 1",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A801,"해피북미디어 외 6",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A802,"주식회사 소원나무",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A803,"뜨인돌출판",exhibitor,T3 공식요약,T3 공식요약,medium,1,0,0,0,0,0
sibf-2026,A804,"밝은미래",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A805,"도서출판 동녘",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A806,"클레이하우스 주식회사",exhibitor,T3 공식요약,T3 공식요약,medium,1,0,0,0,0,5
sibf-2026,A807,"프리즘오브 외 1",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A808,"진선출판사",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A901,"윌북",exhibitor,T1 저작해석,T1 저작해석,high,1,1,3,3,3,7
sibf-2026,A902,"더중앙플러스",exhibitor,T3 공식요약,T3 공식요약,medium,1,0,0,0,0,2
sibf-2026,A903,"동아시아·허블",exhibitor,T1 저작해석,T1 저작해석,high,1,1,3,3,3,1
sibf-2026,A1001,"평산책방 외 1",exhibitor,T1 저작해석,T1 저작해석,high,1,1,3,3,3,3
sibf-2026,A1002,"재단법인 아모레퍼시픽재단",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A1101,"황금가지 외 1",exhibitor,T1 저작해석,T1 저작해석,high,1,1,2,3,3,10
sibf-2026,A1102,"윌라스토리 외 2",exhibitor,T1 저작해석,T1 저작해석,high,1,1,3,3,3,4
sibf-2026,A1103,"신한은행 외 1",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A1201,"THE GRAYHAWK AGENCY 외 11",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A1202,"라이터 소울 태국 외 15",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A1203,"EC Publishing LLC",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A1204,"Studio of Books LLC",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A1205,"퀴퍼 프린츠",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A1206,"Recrea Libros 외 3",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A1207,"연변대학출판사 외 2",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
sibf-2026,A1301,"엣눈북스",exhibitor,T3 공식요약,T3 공식요약,medium,1,0,0,0,0,0
sibf-2026,A1302,"서사원 주식회사",exhibitor,T3 공식요약,T3 공식요약,medium,1,0,0,2,0,2
sibf-2026,A1303,"프란츠",exhibitor,T5 부스명폴백,T5 부스명폴백,low,0,0,0,0,0,0
